[12-30 09:52:58.736 | TestMain.java:36 | DEBUG ]  Start Time: 2021-12-30 09:52:58:732
[12-30 09:52:58.740 | IKEv2Client.java:70 | DEBUG ]  CREATE IKEv2 CLIENT! 
[12-30 09:52:59.564 | IKEv2KeysGener.java:218 | DEBUG ]  skD: 31ead8e066d85b756555c59a54487ccdb2deca1579c763644e6e1166fe782ff4f1a054374b64d80c6fa0780618e06b0750248f5e94387ce19a6ba26ddec6ca04
[12-30 09:52:59.564 | IKEv2KeysGener.java:219 | DEBUG ]  skAi: dfc99a52f1da93a9593819836fe46a4d8f494f6738db3b6f97ae8461cb8a36fb8bba94999929682a163780e87f20e73b384627a4225da00e26582d3055bfa696
[12-30 09:52:59.564 | IKEv2KeysGener.java:220 | DEBUG ]  skAr: 15e01318e118be7b8e3185a5e595cd82f76583ec92679b0369da30af2c2e1efa08a8fe17a1dd9dd44bdc36a3ccabb225ffef24ed85e46f69a18c91e5dc9ee7f1
[12-30 09:52:59.564 | IKEv2KeysGener.java:221 | DEBUG ]  skEi: 37598c993e09dfcff3d4e942663876800b8f06bd8eabf491de20f171b799d3a9
[12-30 09:52:59.565 | IKEv2KeysGener.java:222 | DEBUG ]  skEr: 30dbd9c25175113afe20d7dc3e9abdfcd6ff8a4e15529f6a9afe352ee815b9ea
[12-30 09:52:59.565 | IKEv2KeysGener.java:223 | DEBUG ]  skPi: 385e6c24ac318e96fb9f48bf3442dce48f5b574478138af2e0eeb2d994600bfd33895207224cc58dc7e20ed37ed78bdb99158c276c5ac39572be333fb3e2cb6d
[12-30 09:52:59.565 | IKEv2KeysGener.java:224 | DEBUG ]  skPr: a49f443cf4af6cfd8d46fda267b8889a9842aa74adef17d081892a1bcb5270b9198017cb49f302ba1ad9fde8e1b5a638fb323e249af87a9dd2f666a4c934a0f4
[12-30 09:52:59.566 | IKEv2KeysGener.java:225 | DEBUG ]  bad42b77e14793c1,f386110fe55a4b69,37598c993e09dfcff3d4e942663876800b8f06bd8eabf491de20f171b799d3a9,30dbd9c25175113afe20d7dc3e9abdfcd6ff8a4e15529f6a9afe352ee815b9ea,"AES-CBC-256 [RFC3602]",dfc99a52f1da93a9593819836fe46a4d8f494f6738db3b6f97ae8461cb8a36fb8bba94999929682a163780e87f20e73b384627a4225da00e26582d3055bfa696,15e01318e118be7b8e3185a5e595cd82f76583ec92679b0369da30af2c2e1efa08a8fe17a1dd9dd44bdc36a3ccabb225ffef24ed85e46f69a18c91e5dc9ee7f1,"HMAC_SHA2_512_256 [RFC4868]"
[12-30 09:52:59.566 | IKEv2Client.java:236 | DEBUG ]  ispi: bad42b77e14793c1
[12-30 09:52:59.567 | IKEv2Client.java:237 | DEBUG ]  rspi: f386110fe55a4b69
[12-30 09:52:59.567 | IKEv2Client.java:238 | DEBUG ]  r_ke: 6702f68e10d5044da781e7386a3435fdf0dc67a3a5cb31157efe946a0a347c5cc89e49876f789e095b8c1bff5497d706db06959cc9f74c1b397ce1e1fa9d452ab5b3aeb532918d9bac6b01d21d6a39b4a33efe806e91d0ee78f47f7280371480724ffdd3cf35363ecd0ca7483e5281f80033f2e84d6ad313bedcefe951d27e94488b275e979a19a247b5b22ba1b001f3ade1089b2d8caff21c5f6fa4eff91071c4a65f7f5e14405e2b58befb443be8243a95242a155be93f7f815e1162df9dd9b3ab75927f383cedff817d31ecfa63168200b70cbbd69a841e5ed08b1f77883fd851b3514dcf9fba723403e6c3ddce9663e9275d3df642c6865d1a8d9a2e7ab7
[12-30 09:52:59.567 | IKEv2Client.java:239 | DEBUG ]  r_nonce: f555b3af96e4fe40b9e5ab5056c8990032e800cb
[12-30 09:52:59.568 | IKEv2Client.java:263 | INFO  ]  saInitWithAcceptedSA, RET: OK
[12-30 09:52:59.573 | PktIKEEnc.java:209 | DEBUG ]  skEi: 37598c993e09dfcff3d4e942663876800b8f06bd8eabf491de20f171b799d3a9
[12-30 09:52:59.605 | IKEv2Parser.java:187 | DEBUG ]  Dec Data: 24000014f286100ff66db82e9dd86dae9e0991bc2700000c0100000064010164210000480200000068bfe1876fae1eca1c8f5bca7b132e6217c316959ad4bbfeaf975165f0a5604bb45419a73b0518bc3413b22383df5f2c522107e2f57d0071569c66e068eada142c000028000000240103040357132ec90300000801000003030000080300000c00000008050000002d00001801000000070000100000ffff0a0101000a0101ff2900001801000000070000100000ffffac100000ac1000ff2900000c0100400100000005290000080100400a000000080100400b00000003
[12-30 09:52:59.605 | IKEv2Client.java:322 | INFO  ]  authWithPsk, RET: OK
[12-30 09:52:59.620 | PktIKEEnc.java:209 | DEBUG ]  skEi: 37598c993e09dfcff3d4e942663876800b8f06bd8eabf491de20f171b799d3a9
[12-30 09:53:00.077 | IKEv2Parser.java:187 | DEBUG ]  Dec Data: 280000380000003401010804cd8191853b5d27090300000c0100000c800e01000300000802000007030000080300000e000000080400000e220000181a6a005c1c799e4f1684f059e381da88aff2189329000108000e00006702f68e10d5044da781e7386a3435fdf0dc67a3a5cb31157efe946a0a347c5cc89e49876f789e095b8c1bff5497d706db06959cc9f74c1b397ce1e1fa9d452ab5b3aeb532918d9bac6b01d21d6a39b4a33efe806e91d0ee78f47f7280371480724ffdd3cf35363ecd0ca7483e5281f80033f2e84d6ad313bedcefe951d27e94488b275e979a19a247b5b22ba1b001f3ade1089b2d8caff21c5f6fa4eff91071c4a65f7f5e14405e2b58befb443be8243a95242a155be93f7f815e1162df9dd9b3ab75927f383cedff817d31ecfa63168200b70cbbd69a841e5ed08b1f77883fd851b3514dcf9fba723403e6c3ddce9663e9275d3df642c6865d1a8d9a2e7ab70000000c010040010000000500000000000000000000000b
[12-30 09:53:00.078 | IKEv2CreChSaParser.java:92 | DEBUG ]  Nonce Length: 13817
[12-30 09:53:00.078 | IKEv2CreChSaParser.java:93 | DEBUG ]  Offset: 104
[12-30 09:57:21.457 | TestMain.java:36 | DEBUG ]  Start Time: 2021-12-30 09:57:21:454
[12-30 09:57:21.462 | IKEv2Client.java:70 | DEBUG ]  CREATE IKEv2 CLIENT! 
[12-30 09:57:36.006 | IKEv2KeysGener.java:218 | DEBUG ]  skD: 2e000ce687a6a554d797ee794ec20f16953d5ccac7bdb2ef7f9a06ee340caf095e04b6d0822227f16ab583cce2decf04700fe57830cd8ba9247d09e74630c971
[12-30 09:57:36.006 | IKEv2KeysGener.java:219 | DEBUG ]  skAi: be40add54ae8a054fde2e675161f86239cf431a630fc6b5bd733509e4add7fba80d8be28f23df8e0d5b9b3abbb7932299dfe72c92eb4b06d4ff13dc460a761a0
[12-30 09:57:36.007 | IKEv2KeysGener.java:220 | DEBUG ]  skAr: f7458d1ba174c6fb4b9931aa095f55def07eb71925c7896eebe782e11e0c29efaf641b958d222fcb946fd6139d7c09b7b72370d90a05c8a78f29fe532e67cca3
[12-30 09:57:36.007 | IKEv2KeysGener.java:221 | DEBUG ]  skEi: 9b41bd56ac6ee41841fd68112d967f3af41dbedd8c10716fa80a2e72819e465d
[12-30 09:57:36.007 | IKEv2KeysGener.java:222 | DEBUG ]  skEr: eb8b4b1ab47c90daaf86ef67af61a02a83b00a6e821abb1837ef41bdad030d9b
[12-30 09:57:36.008 | IKEv2KeysGener.java:223 | DEBUG ]  skPi: 26ff0b9cd9e20b30590c448c5f1453a7fe1f43c55e83ff786242180c88f298802d351394de29475987ab83aad06329d1859f0a961c0cb1a29dfbcbacaa8ac4f8
[12-30 09:57:36.008 | IKEv2KeysGener.java:224 | DEBUG ]  skPr: 5f97f40bcad6bf567c489d1399d462803b4ba9ccf528b30f57d09369ab2be6ec2d6136adc008028398a04809c03e4e4d9630a476bdf4967693ec695d892e8659
[12-30 09:57:36.010 | IKEv2KeysGener.java:225 | DEBUG ]  1d277f54cfa6cff7,e34f05733e6433ed,9b41bd56ac6ee41841fd68112d967f3af41dbedd8c10716fa80a2e72819e465d,eb8b4b1ab47c90daaf86ef67af61a02a83b00a6e821abb1837ef41bdad030d9b,"AES-CBC-256 [RFC3602]",be40add54ae8a054fde2e675161f86239cf431a630fc6b5bd733509e4add7fba80d8be28f23df8e0d5b9b3abbb7932299dfe72c92eb4b06d4ff13dc460a761a0,f7458d1ba174c6fb4b9931aa095f55def07eb71925c7896eebe782e11e0c29efaf641b958d222fcb946fd6139d7c09b7b72370d90a05c8a78f29fe532e67cca3,"HMAC_SHA2_512_256 [RFC4868]"
[12-30 09:57:36.010 | IKEv2Client.java:236 | DEBUG ]  ispi: 1d277f54cfa6cff7
[12-30 09:57:36.011 | IKEv2Client.java:237 | DEBUG ]  rspi: e34f05733e6433ed
[12-30 09:57:36.011 | IKEv2Client.java:238 | DEBUG ]  r_ke: 6702f68e10d5044da781e7386a3435fdf0dc67a3a5cb31157efe946a0a347c5cc89e49876f789e095b8c1bff5497d706db06959cc9f74c1b397ce1e1fa9d452ab5b3aeb532918d9bac6b01d21d6a39b4a33efe806e91d0ee78f47f7280371480724ffdd3cf35363ecd0ca7483e5281f80033f2e84d6ad313bedcefe951d27e94488b275e979a19a247b5b22ba1b001f3ade1089b2d8caff21c5f6fa4eff91071c4a65f7f5e14405e2b58befb443be8243a95242a155be93f7f815e1162df9dd9b3ab75927f383cedff817d31ecfa63168200b70cbbd69a841e5ed08b1f77883fd851b3514dcf9fba723403e6c3ddce9663e9275d3df642c6865d1a8d9a2e7ab7
[12-30 09:57:36.011 | IKEv2Client.java:239 | DEBUG ]  r_nonce: edb4aa67e9840e565f759b3d5469b50bd356302a
[12-30 09:57:36.012 | IKEv2Client.java:263 | INFO  ]  saInitWithAcceptedSA, RET: OK
[12-30 09:57:36.018 | PktIKEEnc.java:209 | DEBUG ]  skEi: 9b41bd56ac6ee41841fd68112d967f3af41dbedd8c10716fa80a2e72819e465d
[12-30 09:57:36.050 | IKEv2Parser.java:187 | DEBUG ]  Dec Data: 24000014e24f04732d53c0aaeed1c67793835e902700000c010000006401016421000048020000004804fba03c610b4a120cd70670159524f6a8062b1d505a614debf4976b5c65a3feb461e35f756e573267526065e4a09b67445cbe2e2dea8aa6718cde82a6cc232c00002800000024010304033bffdaa30300000801000003030000080300000c00000008050000002d00001801000000070000100000ffff0a0101000a0101ff2900001801000000070000100000ffffac100000ac1000ff2900000c0100400100000005290000080100400a000000080100400b00000003
[12-30 09:57:36.051 | IKEv2Client.java:322 | INFO  ]  authWithPsk, RET: OK
[12-30 09:57:36.067 | PktIKEEnc.java:209 | DEBUG ]  skEi: 9b41bd56ac6ee41841fd68112d967f3af41dbedd8c10716fa80a2e72819e465d
[12-30 09:57:45.993 | IKEv2CreChSaParser.java:26 | DEBUG ]  See CRE_CHILD_SA.
[12-30 09:58:01.650 | IKEv2Parser.java:187 | DEBUG ]  Dec Data: 2800003800000034010108046f7781b5bc63de020300000c0100000c800e01000300000802000007030000080300000e000000080400000e2200001884d8d990e5562f617dbb6fb07d4e9953d0a0bff629000108000e00006702f68e10d5044da781e7386a3435fdf0dc67a3a5cb31157efe946a0a347c5cc89e49876f789e095b8c1bff5497d706db06959cc9f74c1b397ce1e1fa9d452ab5b3aeb532918d9bac6b01d21d6a39b4a33efe806e91d0ee78f47f7280371480724ffdd3cf35363ecd0ca7483e5281f80033f2e84d6ad313bedcefe951d27e94488b275e979a19a247b5b22ba1b001f3ade1089b2d8caff21c5f6fa4eff91071c4a65f7f5e14405e2b58befb443be8243a95242a155be93f7f815e1162df9dd9b3ab75927f383cedff817d31ecfa63168200b70cbbd69a841e5ed08b1f77883fd851b3514dcf9fba723403e6c3ddce9663e9275d3df642c6865d1a8d9a2e7ab70000000c010040010000000500000000000000000000000b
[12-30 09:58:01.651 | IKEv2CreChSaParser.java:93 | DEBUG ]  Nonce Length: 13817
[12-30 09:58:01.653 | IKEv2CreChSaParser.java:94 | DEBUG ]  Offset: 104
[12-30 09:58:23.908 | TestMain.java:36 | DEBUG ]  Start Time: 2021-12-30 09:58:23:904
[12-30 09:58:23.916 | IKEv2Client.java:70 | DEBUG ]  CREATE IKEv2 CLIENT! 
[12-30 09:58:24.736 | IKEv2KeysGener.java:218 | DEBUG ]  skD: 12fcad4bd3c2a89f54c754b4463f844ce247b59fbc062cee335e0f134a45bfc439750ee237262ebda9f4a4c7410bca6ba54df661ca7ead9eadf3c6d896dedfcf
[12-30 09:58:24.737 | IKEv2KeysGener.java:219 | DEBUG ]  skAi: d3bace4936a4f91afe05895667f3d2fd4bfdb44efda9750c7c9dc3bdf1005e9805a737381b08c6a50998a75244e7d5272edd77801f51c610e36b92406490f977
